"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]","detections"
17319,37498.9,18584.6,138.8,205,479,12.2,25.69,1
29128,37507.3,18628.8,163.7,527,471,12.2,19.35,2
46673,37505.0,18657.1,170.8,222,446,12.2,33.87,1
25905,37505.3,18635.3,123.8,314,479,12.2,14.32,1
29133,37514.7,18595.2,138.8,756,463,12.2,10.34,2
35704,37517.2,18606.6,153.4,283,458,12.2,22.50,1
29124,37518.7,18624.6,142.8,652,472,12.2,12.47,2
40580,37518.8,18671.2,137.5,711,467,12.2,12.63,3
36330,37519.4,18632.5,137.1,145,487,12.2,34.96,1
25355,37532.0,18564.5,153.8,283,457,12.2,22.59,1
24585,37539.1,18562.5,137.8,1209,474,12.2,8.87,4
46013,37537.1,18578.9,142.3,1174,470,12.2,9.61,4
25360,37543.6,18582.5,132.7,211,470,12.2,22.86,1
20341,37537.1,18613.6,153.2,171,459,12.2,35.76,1
3,37548.1,18619.4,123.6,205,540,12.2,21.84,1
24599,37551.8,18588.1,163.0,394,451,12.2,24.69,2
46019,37553.1,18593.8,114.0,197,468,12.2,18.58,1
29122,37534.9,18638.9,144.0,310,475,12.2,18.77,1
25907,37527.5,18642.0,153.9,836,485,12.2,11.52,2
19746,37524.8,18646.5,171.6,189,465,12.2,40.66,1
36327,37530.4,18649.7,158.7,423,470,12.2,22.37,2
19744,37546.2,18648.6,160.1,194,438,12.2,33.79,1
43947,37536.0,18660.4,168.2,553,456,12.2,19.18,2
38002,37540.9,18680.6,121.2,299,455,12.2,18.54,2
25901,37558.3,18671.5,170.4,1430,481,12.2,9.99,3
1069,37566.4,18546.9,138.6,282,503,12.2,19.56,1
3186,37564.4,18551.4,137.5,487,484,12.2,15.32,2
46702,37566.2,18554.3,134.1,438,469,12.2,18.88,3
25123,37568.2,18561.1,138.0,254,467,12.2,20.68,1
45866,37577.5,18559.5,134.2,145,472,12.2,33.11,1
1075,37577.6,18546.4,126.2,338,499,12.2,18.57,2
26228,37579.1,18545.0,139.0,447,468,12.2,16.64,2
23997,37582.3,18547.0,140.3,212,449,12.2,24.70,1
34196,37570.5,18563.0,142.9,1205,468,12.2,10.33,5
19142,37559.7,18581.8,145.7,698,465,12.2,12.09,2
43668,37583.9,18568.3,151.7,391,461,12.2,16.55,1
45994,37565.4,18586.7,118.4,138,445,12.2,26.77,1
30156,37565.2,18649.0,141.7,146,460,12.2,35.95,1
45661,37571.4,18587.1,151.6,217,459,12.2,28.04,1
16493,37585.0,18544.6,131.4,334,480,12.2,15.04,1
46674,37619.4,18543.6,153.2,258,464,12.2,24.58,1
19145,37586.3,18638.3,174.2,356,439,12.2,22.57,1
15419,37610.1,18552.4,153.5,513,464,12.2,17.49,2
45999,37600.7,18565.7,144.2,243,456,12.2,23.08,1
11589,37598.9,18652.3,178.2,201,458,12.2,40.90,1
31831,37564.4,18709.6,166.8,1669,467,12.2,8.30,3
38005,37569.1,18704.9,127.7,333,478,12.2,18.89,2
31838,37571.1,18711.0,163.9,522,474,12.2,19.59,2
32628,37565.9,18711.8,140.6,166,458,12.2,31.38,1
27763,37581.6,18747.7,151.0,138,468,12.2,43.10,1
1,37582.5,18659.8,129.2,156,539,12.2,30.57,1
32632,37599.3,18663.9,152.6,362,466,12.2,23.96,2
31836,37588.4,18667.9,133.5,207,474,12.2,23.60,1
34492,37585.9,18694.0,130.4,391,466,12.2,16.73,2
32593,37599.7,18704.0,143.5,560,474,12.2,17.09,3
19332,37600.7,18724.0,132.1,172,460,12.2,27.15,1
45769,37540.3,18803.4,163.7,297,458,12.2,24.21,1
45774,37573.1,18811.8,163.8,404,441,12.2,24.13,2
30343,37615.6,18759.6,117.9,252,492,12.2,21.36,2
21065,37607.1,18809.7,141.0,224,476,12.2,24.30,1
25679,37614.5,18914.9,134.1,109,442,12.2,42.12,1
26683,37620.4,18843.6,138.9,186,468,12.2,27.88,1
49777,37623.0,18637.8,134.1,143,467,12.2,33.30,1
43005,37621.3,18739.6,103.4,115,473,12.2,25.50,1
6612,37624.1,18723.4,173.5,1322,476,12.2,11.01,3
45241,37625.0,18737.6,145.3,127,445,12.2,42.40,1
26723,37626.9,18781.9,162.1,268,448,12.2,25.87,1
30339,37637.9,18846.2,146.4,279,474,12.2,21.23,1
26030,37638.7,18747.9,124.4,115,460,12.2,35.26,1
26761,37641.3,18827.0,177.9,401,448,12.2,28.55,2
30293,37646.4,18821.1,161.8,250,486,12.2,28.52,1
14933,37642.6,18835.8,100.2,124,453,12.2,22.03,1
25942,37643.9,18856.4,107.8,161,477,12.2,20.28,1
26756,37640.6,18859.9,142.5,164,465,12.2,32.76,1
26021,37646.6,18751.9,126.0,141,483,12.2,30.56,1
34255,37651.4,18475.1,113.1,131,469,12.2,26.35,1
47094,37691.4,18476.2,143.8,132,470,12.2,40.96,1
4533,37676.8,18478.6,150.6,481,459,12.2,17.85,2
4526,37697.0,18478.1,135.0,566,468,12.2,12.78,2
17648,37665.4,18480.9,128.3,170,470,12.2,26.20,1
34461,37677.6,18491.0,139.7,200,464,12.2,26.21,1
31904,37685.6,18485.0,162.7,364,442,12.2,26.25,2
16681,37680.2,18494.0,124.6,230,481,12.2,25.48,2
